category,yyyy,mm,platform_type,gmv
컴퓨터 및 주변기기,2017,1,mobile,"133,993"
가전·전자·통신기기,2017,1,mobile,"294,626"
서적,2017,1,mobile,"47,379"
사무·문구,2017,1,mobile,"15,959"
의복,2017,1,mobile,"467,093"
신발,2017,1,mobile,"61,269"
가방,2017,1,mobile,"99,665"
패션용품 및 액세서리,2017,1,mobile,"86,770"
스포츠·레저용품,2017,1,mobile,"96,891"
화장품,2017,1,mobile,"380,746"
아동·유아용품,2017,1,mobile,"183,143"
음·식료품,2017,1,mobile,"394,322"
농축수산물,2017,1,mobile,"142,230"
생활용품,2017,1,mobile,"346,900"
자동차 및 자동차용품,2017,1,mobile,"45,400"
가구,2017,1,mobile,"105,397"
애완용품,2017,1,mobile,"30,247"
여행 및 교통서비스,2017,1,mobile,"611,775"
문화 및 레저서비스,2017,1,mobile,"70,012"
e쿠폰서비스,2017,1,mobile,"74,432"
음식서비스,2017,1,mobile,"150,546"
기타서비스,2017,1,mobile,"23,788"
기타,2017,1,mobile,"57,713"
컴퓨터 및 주변기기,2017,1,web,"288,391"
가전·전자·통신기기,2017,1,web,"307,496"
서적,2017,1,web,"103,851"
사무·문구,2017,1,web,"37,233"
의복,2017,1,web,"397,422"
신발,2017,1,web,"42,529"
가방,2017,1,web,"43,978"
패션용품 및 액세서리,2017,1,web,"56,669"
스포츠·레저용품,2017,1,web,"104,489"
화장품,2017,1,web,"273,399"
아동·유아용품,2017,1,web,"76,647"
음·식료품,2017,1,web,"281,528"
농축수산물,2017,1,web,"116,799"
생활용품,2017,1,web,"245,410"
자동차 및 자동차용품,2017,1,web,"34,744"
가구,2017,1,web,"83,204"
애완용품,2017,1,web,"22,849"
여행 및 교통서비스,2017,1,web,"603,688"
문화 및 레저서비스,2017,1,web,"94,242"
e쿠폰서비스,2017,1,web,"14,216"
음식서비스,2017,1,web,"32,810"
기타서비스,2017,1,web,"41,810"
기타,2017,1,web,"86,780"
컴퓨터 및 주변기기,2017,2,mobile,"146,200"
가전·전자·통신기기,2017,2,mobile,"298,786"
서적,2017,2,mobile,"47,680"
사무·문구,2017,2,mobile,"18,854"
의복,2017,2,mobile,"445,567"
신발,2017,2,mobile,"73,655"
가방,2017,2,mobile,"110,077"
패션용품 및 액세서리,2017,2,mobile,"87,970"
스포츠·레저용품,2017,2,mobile,"100,947"
화장품,2017,2,mobile,"428,550"
아동·유아용품,2017,2,mobile,"180,770"
음·식료품,2017,2,mobile,"349,797"
농축수산물,2017,2,mobile,"100,582"
생활용품,2017,2,mobile,"354,823"
자동차 및 자동차용품,2017,2,mobile,"43,128"
가구,2017,2,mobile,"122,186"
애완용품,2017,2,mobile,"37,709"
여행 및 교통서비스,2017,2,mobile,"557,968"
문화 및 레저서비스,2017,2,mobile,"50,991"
e쿠폰서비스,2017,2,mobile,"69,089"
음식서비스,2017,2,mobile,"145,165"
기타서비스,2017,2,mobile,"18,125"
기타,2017,2,mobile,"61,409"
컴퓨터 및 주변기기,2017,2,web,"329,143"
가전·전자·통신기기,2017,2,web,"328,088"
서적,2017,2,web,"106,649"
사무·문구,2017,2,web,"41,550"
의복,2017,2,web,"382,105"
신발,2017,2,web,"44,976"
가방,2017,2,web,"53,127"
패션용품 및 액세서리,2017,2,web,"58,915"
스포츠·레저용품,2017,2,web,"106,163"
화장품,2017,2,web,"300,678"
아동·유아용품,2017,2,web,"81,434"
음·식료품,2017,2,web,"223,285"
농축수산물,2017,2,web,"66,964"
생활용품,2017,2,web,"252,296"
자동차 및 자동차용품,2017,2,web,"33,549"
가구,2017,2,web,"96,989"
애완용품,2017,2,web,"24,296"
여행 및 교통서비스,2017,2,web,"552,472"
문화 및 레저서비스,2017,2,web,"72,901"
e쿠폰서비스,2017,2,web,"11,707"
음식서비스,2017,2,web,"28,759"
기타서비스,2017,2,web,"22,608"
기타,2017,2,web,"80,170"
컴퓨터 및 주변기기,2017,3,mobile,"151,262"
가전·전자·통신기기,2017,3,mobile,"318,541"
서적,2017,3,mobile,"59,519"
사무·문구,2017,3,mobile,"24,255"
의복,2017,3,mobile,"563,752"
신발,2017,3,mobile,"97,495"
가방,2017,3,mobile,"114,633"
패션용품 및 액세서리,2017,3,mobile,"102,632"
스포츠·레저용품,2017,3,mobile,"128,655"
화장품,2017,3,mobile,"361,445"
아동·유아용품,2017,3,mobile,"204,856"
음·식료품,2017,3,mobile,"392,601"
농축수산물,2017,3,mobile,"121,835"
생활용품,2017,3,mobile,"353,374"
자동차 및 자동차용품,2017,3,mobile,"44,158"
가구,2017,3,mobile,"137,752"
애완용품,2017,3,mobile,"40,078"
여행 및 교통서비스,2017,3,mobile,"561,942"
문화 및 레저서비스,2017,3,mobile,"49,197"
e쿠폰서비스,2017,3,mobile,"77,872"
음식서비스,2017,3,mobile,"161,602"
기타서비스,2017,3,mobile,"16,120"
기타,2017,3,mobile,"77,987"
컴퓨터 및 주변기기,2017,3,web,"322,089"
가전·전자·통신기기,2017,3,web,"349,185"
서적,2017,3,web,"126,052"
사무·문구,2017,3,web,"45,751"
의복,2017,3,web,"478,990"
신발,2017,3,web,"55,799"
가방,2017,3,web,"54,028"
패션용품 및 액세서리,2017,3,web,"63,045"
스포츠·레저용품,2017,3,web,"128,706"
화장품,2017,3,web,"353,850"
아동·유아용품,2017,3,web,"95,343"
음·식료품,2017,3,web,"249,069"
농축수산물,2017,3,web,"72,315"
생활용품,2017,3,web,"266,119"
자동차 및 자동차용품,2017,3,web,"37,139"
가구,2017,3,web,"102,935"
애완용품,2017,3,web,"25,187"
여행 및 교통서비스,2017,3,web,"510,654"
문화 및 레저서비스,2017,3,web,"88,936"
e쿠폰서비스,2017,3,web,"12,277"
음식서비스,2017,3,web,"30,493"
기타서비스,2017,3,web,"19,826"
기타,2017,3,web,"97,661"
컴퓨터 및 주변기기,2017,4,mobile,"116,675"
가전·전자·통신기기,2017,4,mobile,"349,814"
서적,2017,4,mobile,"40,127"
사무·문구,2017,4,mobile,"20,233"
의복,2017,4,mobile,"531,625"
신발,2017,4,mobile,"97,379"
가방,2017,4,mobile,"112,149"
패션용품 및 액세서리,2017,4,mobile,"105,230"
스포츠·레저용품,2017,4,mobile,"147,775"
화장품,2017,4,mobile,"331,769"
아동·유아용품,2017,4,mobile,"203,032"
음·식료품,2017,4,mobile,"386,307"
농축수산물,2017,4,mobile,"110,327"
생활용품,2017,4,mobile,"328,595"
자동차 및 자동차용품,2017,4,mobile,"44,786"
가구,2017,4,mobile,"117,279"
애완용품,2017,4,mobile,"35,774"
여행 및 교통서비스,2017,4,mobile,"600,457"
문화 및 레저서비스,2017,4,mobile,"53,515"
e쿠폰서비스,2017,4,mobile,"72,727"
음식서비스,2017,4,mobile,"166,271"
기타서비스,2017,4,mobile,"31,704"
기타,2017,4,mobile,"72,425"
컴퓨터 및 주변기기,2017,4,web,"251,604"
가전·전자·통신기기,2017,4,web,"366,894"
서적,2017,4,web,"82,291"
사무·문구,2017,4,web,"41,721"
의복,2017,4,web,"441,022"
신발,2017,4,web,"54,249"
가방,2017,4,web,"47,250"
패션용품 및 액세서리,2017,4,web,"59,952"
스포츠·레저용품,2017,4,web,"135,380"
화장품,2017,4,web,"251,566"
아동·유아용품,2017,4,web,"90,564"
음·식료품,2017,4,web,"266,606"
농축수산물,2017,4,web,"65,812"
생활용품,2017,4,web,"246,729"
자동차 및 자동차용품,2017,4,web,"35,727"
가구,2017,4,web,"88,744"
애완용품,2017,4,web,"23,609"
여행 및 교통서비스,2017,4,web,"534,384"
문화 및 레저서비스,2017,4,web,"66,084"
e쿠폰서비스,2017,4,web,"12,206"
음식서비스,2017,4,web,"30,273"
기타서비스,2017,4,web,"21,513"
기타,2017,4,web,"90,639"
컴퓨터 및 주변기기,2017,5,mobile,"109,053"
가전·전자·통신기기,2017,5,mobile,"443,900"
서적,2017,5,mobile,"35,774"
사무·문구,2017,5,mobile,"17,810"
의복,2017,5,mobile,"539,150"
신발,2017,5,mobile,"104,765"
가방,2017,5,mobile,"107,327"
패션용품 및 액세서리,2017,5,mobile,"106,764"
스포츠·레저용품,2017,5,mobile,"154,683"
화장품,2017,5,mobile,"360,424"
아동·유아용품,2017,5,mobile,"198,011"
음·식료품,2017,5,mobile,"394,181"
농축수산물,2017,5,mobile,"112,058"
생활용품,2017,5,mobile,"352,665"
자동차 및 자동차용품,2017,5,mobile,"48,770"
가구,2017,5,mobile,"118,222"
애완용품,2017,5,mobile,"33,175"
여행 및 교통서비스,2017,5,mobile,"607,302"
문화 및 레저서비스,2017,5,mobile,"57,009"
e쿠폰서비스,2017,5,mobile,"83,982"
음식서비스,2017,5,mobile,"179,426"
기타서비스,2017,5,mobile,"25,133"
기타,2017,5,mobile,"72,441"
컴퓨터 및 주변기기,2017,5,web,"241,871"
가전·전자·통신기기,2017,5,web,"417,717"
서적,2017,5,web,"78,606"
사무·문구,2017,5,web,"39,428"
의복,2017,5,web,"439,084"
신발,2017,5,web,"55,797"
가방,2017,5,web,"45,044"
패션용품 및 액세서리,2017,5,web,"61,938"
스포츠·레저용품,2017,5,web,"138,288"
화장품,2017,5,web,"262,428"
아동·유아용품,2017,5,web,"76,554"
음·식료품,2017,5,web,"239,172"
농축수산물,2017,5,web,"63,704"
생활용품,2017,5,web,"247,892"
자동차 및 자동차용품,2017,5,web,"38,442"
가구,2017,5,web,"83,217"
애완용품,2017,5,web,"22,937"
여행 및 교통서비스,2017,5,web,"574,594"
문화 및 레저서비스,2017,5,web,"76,776"
e쿠폰서비스,2017,5,web,"14,631"
음식서비스,2017,5,web,"31,139"
기타서비스,2017,5,web,"18,357"
기타,2017,5,web,"92,076"
컴퓨터 및 주변기기,2017,6,mobile,"113,811"
가전·전자·통신기기,2017,6,mobile,"385,920"
서적,2017,6,mobile,"37,657"
사무·문구,2017,6,mobile,"18,181"
의복,2017,6,mobile,"515,569"
신발,2017,6,mobile,"101,494"
가방,2017,6,mobile,"105,539"
패션용품 및 액세서리,2017,6,mobile,"101,447"
스포츠·레저용품,2017,6,mobile,"151,484"
화장품,2017,6,mobile,"378,115"
아동·유아용품,2017,6,mobile,"183,591"
음·식료품,2017,6,mobile,"398,224"
농축수산물,2017,6,mobile,"114,736"
생활용품,2017,6,mobile,"350,978"
자동차 및 자동차용품,2017,6,mobile,"48,653"
가구,2017,6,mobile,"119,363"
애완용품,2017,6,mobile,"33,360"
여행 및 교통서비스,2017,6,mobile,"605,819"
문화 및 레저서비스,2017,6,mobile,"57,802"
e쿠폰서비스,2017,6,mobile,"78,868"
