dt,orderid,userid,itemid,price,unitsold,gmv,product_profit,discount,total_profit
20210601,82984454,507734,1,20000,1,20000,8000,1000,7000
20210601,83086659,280456,1,20000,1,20000,8000,1000,7000
20210601,83432330,401841,1,20000,1,20000,8000,1000,7000
20210601,83515822,708361,1,20000,1,20000,8000,1000,7000
20210601,83575844,354070,1,20000,1,20000,8000,1000,7000
20210601,17604107,832796,1,20000,2,40000,16000,2000,14000
20210601,37453043,514972,1,20000,2,40000,16000,2000,14000
20210601,48290697,191515,1,20000,2,40000,16000,2000,14000
20210601,63666257,787667,1,20000,2,40000,16000,2000,14000
20210601,96701451,500786,1,20000,2,40000,16000,2000,14000
20210601,11275835,143232,1,20000,1,20000,8000,1000,7000
20210601,11417271,520163,1,20000,1,20000,8000,1000,7000
20210601,11941351,638354,1,20000,1,20000,8000,1000,7000
20210601,11996211,442878,1,20000,1,20000,8000,1000,7000
20210601,12751862,621174,1,20000,1,20000,8000,1000,7000
20210601,13231881,307243,1,20000,1,20000,8000,1000,7000
20210601,13249255,,1,20000,1,20000,8000,1000,7000
20210601,13514650,,1,20000,1,20000,8000,1000,7000
20210601,13912399,,1,20000,1,20000,8000,1000,7000
20210601,13986809,,1,20000,1,20000,8000,1000,7000
20210601,14277352,540098,1,20000,1,20000,8000,1000,7000
20210601,14564054,387719,1,20000,1,20000,8000,1000,7000
20210601,14690277,592623,1,20000,1,20000,8000,1000,7000
20210601,14796497,222109,1,20000,1,20000,8000,1000,7000
20210601,14919724,349414,1,20000,1,20000,8000,1000,7000
20210601,15028430,621208,1,20000,1,20000,8000,1000,7000
20210601,15035123,770020,1,20000,1,20000,8000,1000,7000
20210601,15104775,525594,1,20000,1,20000,8000,1000,7000
20210601,15637587,978803,1,20000,1,20000,8000,1000,7000
20210601,16256991,241438,1,20000,1,20000,8000,1000,7000
20210601,16632594,343086,1,20000,1,20000,8000,1000,7000
20210601,16734047,679712,1,20000,1,20000,8000,1000,7000
20210601,17227711,725248,1,20000,1,20000,8000,1000,7000
20210601,17797849,793779,1,20000,1,20000,8000,1000,7000
20210601,18450421,330329,1,20000,1,20000,8000,1000,7000
20210601,18700216,156748,1,20000,1,20000,8000,1000,7000
20210601,18770445,218628,1,20000,1,20000,8000,1000,7000
20210601,18822178,424576,1,20000,1,20000,8000,1000,7000
20210601,18936004,787040,1,20000,1,20000,8000,1000,7000
20210601,18937796,587768,1,20000,1,20000,8000,1000,7000
20210601,18987703,841711,1,20000,1,20000,8000,1000,7000
20210601,19063214,474377,1,20000,1,20000,8000,1000,7000
20210601,19269571,375093,1,20000,1,20000,8000,1000,7000
20210601,19479107,533131,1,20000,1,20000,8000,1000,7000
20210601,19556014,957887,1,20000,1,20000,8000,1000,7000
20210601,19682627,346145,1,20000,1,20000,8000,1000,7000
20210601,20126746,749339,1,20000,1,20000,8000,1000,7000
20210601,20361431,652622,1,20000,1,20000,8000,1000,7000
20210601,20545465,778094,1,20000,1,20000,8000,1000,7000
20210601,20733967,736578,1,20000,1,20000,8000,1000,7000
20210601,20753944,265582,1,20000,1,20000,8000,1000,7000
20210601,20835408,924622,1,20000,1,20000,8000,1000,7000
20210601,21554619,654800,1,20000,1,20000,8000,1000,7000
20210601,22195435,806501,1,20000,1,20000,8000,1000,7000
20210601,22356891,317351,1,20000,1,20000,8000,1000,7000
20210601,22742902,829868,1,20000,1,20000,8000,1000,7000
20210601,22890172,887451,1,20000,1,20000,8000,1000,7000
20210601,23110707,293971,1,20000,1,20000,8000,1000,7000
20210601,23339255,103343,1,20000,1,20000,8000,1000,7000
20210601,23385615,527628,1,20000,1,20000,8000,1000,7000
20210601,23479188,332084,1,20000,1,20000,8000,1000,7000
20210601,23756088,751931,1,20000,1,20000,8000,1000,7000
20210601,23844957,931722,1,20000,1,20000,8000,1000,7000
20210601,24216974,599522,1,20000,1,20000,8000,1000,7000
20210601,24237522,567951,1,20000,1,20000,8000,1000,7000
20210601,24355880,715738,1,20000,1,20000,8000,1000,7000
20210601,24724296,417314,1,20000,1,20000,8000,1000,7000
20210601,25008603,136430,1,20000,1,20000,8000,1000,7000
20210601,25279493,101187,1,20000,1,20000,8000,1000,7000
20210601,25303853,112015,1,20000,1,20000,8000,1000,7000
20210601,25313821,389828,1,20000,1,20000,8000,1000,7000
20210601,25966592,571258,1,20000,1,20000,8000,1000,7000
20210601,26298265,181460,1,20000,1,20000,8000,1000,7000
20210601,27373524,891565,1,20000,1,20000,8000,1000,7000
20210601,27510869,671872,1,20000,1,20000,8000,1000,7000
20210601,27865689,751805,1,20000,1,20000,8000,1000,7000
20210601,27887331,396686,1,20000,1,20000,8000,1000,7000
20210601,27956161,529662,1,20000,1,20000,8000,1000,7000
20210601,28004802,944349,1,20000,1,20000,8000,1000,7000
20210601,28358636,833812,1,20000,1,20000,8000,1000,7000
20210601,28471286,839818,1,20000,1,20000,8000,1000,7000
20210601,28732225,709753,1,20000,1,20000,8000,1000,7000
20210601,29031557,127501,1,20000,1,20000,8000,1000,7000
20210601,29056654,583281,1,20000,1,20000,8000,1000,7000
20210601,29402566,980702,1,20000,1,20000,8000,1000,7000
20210601,29428100,413188,1,20000,1,20000,8000,1000,7000
20210601,29505888,631489,1,20000,1,20000,8000,1000,7000
20210601,29651807,647484,1,20000,1,20000,8000,1000,7000
20210601,29671904,805894,1,20000,1,20000,8000,1000,7000
20210601,29695363,556463,1,20000,1,20000,8000,1000,7000
20210601,30259989,356564,1,20000,1,20000,8000,1000,7000
20210601,30327744,566257,1,20000,1,20000,8000,1000,7000
20210601,30339532,742106,1,20000,1,20000,8000,1000,7000
20210601,30480298,691233,1,20000,1,20000,8000,1000,7000
20210601,30855903,315056,1,20000,1,20000,8000,1000,7000
20210601,30987388,213216,1,20000,1,20000,8000,1000,7000
20210601,31405901,705349,1,20000,1,20000,8000,1000,7000
20210601,31512246,226494,1,20000,1,20000,8000,1000,7000
20210601,31580246,152520,1,20000,1,20000,8000,1000,7000
20210601,31612985,278586,1,20000,1,20000,8000,1000,7000
20210601,31752998,482879,1,20000,1,20000,8000,1000,7000
20210601,31931819,940712,1,20000,1,20000,8000,1000,7000
20210601,32203214,219365,1,20000,1,20000,8000,1000,7000
20210601,32399325,188598,1,20000,1,20000,8000,1000,7000
20210601,32455673,726485,1,20000,1,20000,8000,1000,7000
20210601,32596779,127028,1,20000,1,20000,8000,1000,7000
20210601,33304463,336159,1,20000,1,20000,8000,1000,7000
20210601,33349276,830520,1,20000,1,20000,8000,1000,7000
20210601,33468911,961590,1,20000,1,20000,8000,1000,7000
20210601,33782248,297820,1,20000,1,20000,8000,1000,7000
20210601,33837517,556942,1,20000,1,20000,8000,1000,7000
20210601,33959436,672855,1,20000,1,20000,8000,1000,7000
20210601,34107145,685195,1,20000,1,20000,8000,1000,7000
20210601,35514480,564714,1,20000,1,20000,8000,1000,7000
20210601,35721810,449594,1,20000,1,20000,8000,1000,7000
20210601,36249192,813450,1,20000,1,20000,8000,1000,7000
20210601,36523853,391339,1,20000,1,20000,8000,1000,7000
20210601,36574046,241381,1,20000,1,20000,8000,1000,7000
20210601,36646755,216727,1,20000,1,20000,8000,1000,7000
20210601,36888090,647481,1,20000,1,20000,8000,1000,7000
20210601,37705616,516066,1,20000,1,20000,8000,1000,7000
20210601,37747902,996042,1,20000,1,20000,8000,1000,7000
20210601,38712212,634907,1,20000,1,20000,8000,1000,7000
20210601,38719909,332853,1,20000,1,20000,8000,1000,7000
20210601,38725801,674691,1,20000,1,20000,8000,1000,7000
20210601,39502778,271888,1,20000,1,20000,8000,1000,7000
20210601,39544258,114216,1,20000,1,20000,8000,1000,7000
20210601,39763777,384214,1,20000,1,20000,8000,1000,7000
20210601,40194969,431388,1,20000,1,20000,8000,1000,7000
20210601,40331750,223342,1,20000,1,20000,8000,1000,7000
20210601,40820481,590860,1,20000,1,20000,8000,1000,7000
20210601,41117184,273885,1,20000,1,20000,8000,1000,7000
20210601,41167193,708991,1,20000,1,20000,8000,1000,7000
20210601,41196583,619845,1,20000,1,20000,8000,1000,7000
20210601,41485933,963691,1,20000,1,20000,8000,1000,7000
20210601,41692001,770440,1,20000,1,20000,8000,1000,7000
20210601,41743606,388330,1,20000,1,20000,8000,1000,7000
20210601,41748823,413692,1,20000,1,20000,8000,1000,7000
20210601,42200838,458336,1,20000,1,20000,8000,1000,7000
20210601,43292529,744624,1,20000,1,20000,8000,1000,7000
20210601,43561371,640354,1,20000,1,20000,8000,1000,7000
20210601,43603398,507415,1,20000,1,20000,8000,1000,7000
20210601,44412930,660434,1,20000,1,20000,8000,1000,7000
20210601,44809232,306687,1,20000,1,20000,8000,1000,7000
20210601,45448846,576588,1,20000,1,20000,8000,1000,7000
20210601,45482613,925878,1,20000,1,20000,8000,1000,7000
20210601,45525634,267870,1,20000,1,20000,8000,1000,7000
20210601,46168773,875728,1,20000,1,20000,8000,1000,7000
20210601,46260863,988977,1,20000,1,20000,8000,1000,7000
20210601,46375346,972005,1,20000,1,20000,8000,1000,7000
20210601,46678254,466510,1,20000,1,20000,8000,1000,7000
20210601,46706414,126642,1,20000,1,20000,8000,1000,7000
20210601,46812623,596119,1,20000,1,20000,8000,1000,7000
20210601,46932466,912185,1,20000,1,20000,8000,1000,7000
20210601,47163466,218103,1,20000,1,20000,8000,1000,7000
20210601,47193641,168549,1,20000,1,20000,8000,1000,7000
20210601,47661544,795991,1,20000,1,20000,8000,1000,7000
20210601,47881690,434686,1,20000,1,20000,8000,1000,7000
20210601,48311112,589777,1,20000,1,20000,8000,1000,7000
20210601,48584845,771243,1,20000,1,20000,8000,1000,7000
20210601,48717976,651523,1,20000,1,20000,8000,1000,7000
20210601,48983037,276459,1,20000,1,20000,8000,1000,7000
20210601,49117427,283169,1,20000,1,20000,8000,1000,7000
20210601,49544846,547301,1,20000,1,20000,8000,1000,7000
20210601,49630786,207975,1,20000,1,20000,8000,1000,7000
20210601,49790314,987326,1,20000,1,20000,8000,1000,7000
20210601,50174219,790161,1,20000,1,20000,8000,1000,7000
20210601,50264671,545652,1,20000,1,20000,8000,1000,7000
20210601,51459885,328305,1,20000,1,20000,8000,1000,7000
20210601,51498418,718469,1,20000,1,20000,8000,1000,7000
20210601,51585098,465013,1,20000,1,20000,8000,1000,7000
20210601,51632577,776680,1,20000,1,20000,8000,1000,7000
20210601,51995389,945868,1,20000,1,20000,8000,1000,7000
20210601,53193248,638001,1,20000,1,20000,8000,1000,7000
20210601,54143847,476147,1,20000,1,20000,8000,1000,7000
20210601,54547337,644331,1,20000,1,20000,8000,1000,7000
20210601,54863556,271098,1,20000,1,20000,8000,1000,7000
20210601,54897218,840949,1,20000,1,20000,8000,1000,7000
20210601,56620021,551254,1,20000,1,20000,8000,1000,7000
20210601,56711853,952508,1,20000,1,20000,8000,1000,7000
20210601,56925421,388124,1,20000,1,20000,8000,1000,7000
20210601,57029658,153561,1,20000,1,20000,8000,1000,7000
20210601,57071403,855202,1,20000,1,20000,8000,1000,7000
20210601,57131024,298403,1,20000,1,20000,8000,1000,7000
20210601,57207213,754481,1,20000,1,20000,8000,1000,7000
20210601,57334391,931088,1,20000,1,20000,8000,1000,7000
20210601,57845283,635742,1,20000,1,20000,8000,1000,7000
20210601,58209335,636752,1,20000,1,20000,8000,1000,7000
20210601,58610693,684595,1,20000,1,20000,8000,1000,7000
20210601,58993424,923708,1,20000,1,20000,8000,1000,7000
20210601,59129146,145782,1,20000,1,20000,8000,1000,7000
20210601,59165365,300572,1,20000,1,20000,8000,1000,7000
20210601,59886182,647567,1,20000,1,20000,8000,1000,7000
20210601,60033906,778240,1,20000,1,20000,8000,1000,7000
20210601,60046007,912053,1,20000,1,20000,8000,1000,7000
20210601,60484572,403916,1,20000,1,20000,8000,1000,7000
20210601,60563894,891084,1,20000,1,20000,8000,1000,7000
20210601,60779579,169261,1,20000,1,20000,8000,1000,7000
20210601,61423259,162807,1,20000,1,20000,8000,1000,7000
20210601,61735512,669380,1,20000,1,20000,8000,1000,7000
20210601,61758455,395775,1,20000,1,20000,8000,1000,7000
20210601,61810041,434902,1,20000,1,20000,8000,1000,7000
20210601,61908657,625383,1,20000,1,20000,8000,1000,7000
20210601,62090310,792811,1,20000,1,20000,8000,1000,7000
20210601,62370032,900344,1,20000,1,20000,8000,1000,7000
20210601,62391335,389812,1,20000,1,20000,8000,1000,7000
20210601,62477193,584375,1,20000,1,20000,8000,1000,7000
20210601,62529378,676466,1,20000,1,20000,8000,1000,7000
20210601,62577909,251468,1,20000,1,20000,8000,1000,7000
20210601,63004363,679591,1,20000,1,20000,8000,1000,7000
20210601,63218536,680638,1,20000,1,20000,8000,1000,7000
20210601,63328185,859039,1,20000,1,20000,8000,1000,7000
20210601,64312075,410328,1,20000,1,20000,8000,1000,7000
20210601,64450651,564142,1,20000,1,20000,8000,1000,7000
20210601,64850345,989238,1,20000,1,20000,8000,1000,7000
20210601,64869388,317016,1,20000,1,20000,8000,1000,7000
20210601,64925090,147239,1,20000,1,20000,8000,1000,7000
20210601,65512868,523949,1,20000,1,20000,8000,1000,7000
20210601,65672560,851232,1,20000,1,20000,8000,1000,7000
20210601,65681210,741330,1,20000,1,20000,8000,1000,7000
20210601,66478771,350656,1,20000,1,20000,8000,1000,7000
20210601,67374437,506315,1,20000,1,20000,8000,1000,7000
20210601,67583724,818509,1,20000,1,20000,8000,1000,7000
20210601,67664995,384372,1,20000,1,20000,8000,1000,7000
20210601,67922347,448740,1,20000,1,20000,8000,1000,7000
20210601,67986538,362566,1,20000,1,20000,8000,1000,7000
20210601,68328349,160679,1,20000,1,20000,8000,1000,7000
20210601,68385552,286146,1,20000,1,20000,8000,1000,7000
20210601,68770088,550440,1,20000,1,20000,8000,1000,7000
20210601,69276496,166841,1,20000,1,20000,8000,1000,7000
20210601,69289948,196317,1,20000,1,20000,8000,1000,7000
20210601,69293709,430725,1,20000,1,20000,8000,1000,7000
20210601,69787314,920192,1,20000,1,20000,8000,1000,7000
20210601,70218425,429398,1,20000,1,20000,8000,1000,7000
20210601,70350138,809456,1,20000,1,20000,8000,1000,7000
20210601,71304864,209521,1,20000,1,20000,8000,1000,7000
20210601,71394195,804073,1,20000,1,20000,8000,1000,7000
20210601,71831877,277800,1,20000,1,20000,8000,1000,7000
20210601,72123607,397010,1,20000,1,20000,8000,1000,7000
20210601,72416754,951460,1,20000,1,20000,8000,1000,7000
20210601,72499648,827246,1,20000,1,20000,8000,1000,7000
20210601,72578681,416255,1,20000,1,20000,8000,1000,7000
20210601,72945925,253932,1,20000,1,20000,8000,1000,7000
20210601,73068323,135570,1,20000,1,20000,8000,1000,7000
20210601,73141173,827439,1,20000,1,20000,8000,1000,7000
20210601,74274397,871083,1,20000,1,20000,8000,1000,7000
20210601,74836127,712908,1,20000,1,20000,8000,1000,7000
20210601,74940166,412972,1,20000,1,20000,8000,1000,7000
20210601,74977070,915470,1,20000,1,20000,8000,1000,7000
20210601,75244573,712624,1,20000,1,20000,8000,1000,7000
20210601,75540395,542346,1,20000,1,20000,8000,1000,7000
20210601,75916152,420697,1,20000,1,20000,8000,1000,7000
20210601,76507569,287935,1,20000,1,20000,8000,1000,7000
20210601,76626267,391392,1,20000,1,20000,8000,1000,7000
20210601,76703573,648617,1,20000,1,20000,8000,1000,7000
20210601,76794655,581303,1,20000,1,20000,8000,1000,7000
20210601,76955819,494098,1,20000,1,20000,8000,1000,7000
20210601,77075918,381805,1,20000,1,20000,8000,1000,7000
20210601,77403711,916238,1,20000,1,20000,8000,1000,7000
20210601,77784042,593850,1,20000,1,20000,8000,1000,7000
20210601,77856091,536968,1,20000,1,20000,8000,1000,7000
20210601,78918011,917779,1,20000,1,20000,8000,1000,7000
20210601,79085378,628541,1,20000,1,20000,8000,1000,7000
20210601,79782672,879375,1,20000,1,20000,8000,1000,7000
20210601,79852851,831657,1,20000,1,20000,8000,1000,7000
20210601,80181988,652703,1,20000,1,20000,8000,1000,7000
20210601,80222910,188292,1,20000,1,20000,8000,1000,7000
20210601,80725862,537892,1,20000,1,20000,8000,1000,7000
20210601,80760828,315032,1,20000,1,20000,8000,1000,7000
20210601,80803041,668410,1,20000,1,20000,8000,1000,7000
20210601,81357089,379629,1,20000,1,20000,8000,1000,7000
20210601,81416965,841393,1,20000,1,20000,8000,1000,7000
20210601,81837530,386013,1,20000,1,20000,8000,1000,7000
20210601,82077829,769321,1,20000,1,20000,8000,1000,7000
20210601,82171452,322556,1,20000,1,20000,8000,1000,7000
20210601,82416671,879435,1,20000,1,20000,8000,1000,7000
20210601,82448584,395430,1,20000,1,20000,8000,1000,7000
20210601,82542095,725347,1,20000,1,20000,8000,1000,7000
20210601,82657492,325254,1,20000,1,20000,8000,1000,7000
20210601,82832354,343228,1,20000,1,20000,8000,1000,7000
20210601,82837775,850889,1,20000,1,20000,8000,1000,7000
20210601,83085446,418566,1,20000,1,20000,8000,1000,7000
20210601,84217217,937542,1,20000,1,20000,8000,1000,7000
20210601,84529430,725858,1,20000,1,20000,8000,1000,7000
20210601,84546204,281625,1,20000,1,20000,8000,1000,7000
